,0
0,Connecticut
1,Illinois
2,Delaware
3,Minnesota
4,Tennessee
5,Florida
6,Michigan
7,Montana
8,Missouri
9,Vermont
10,Maine
11,Nebraska
12,New Hampshire
13,South Dakota
14,West Virginia
15,North Carolina
16,Texas
17,Kentucky
18,Arizona
19,Virginia
20,Georgia
21,Alabama
22,Rhode Island
23,Colorado
24,Washington
25,Iowa
26,Mississippi
27,New Mexico
28,Idaho
29,Massachusetts
30,North Dakota
31,South Carolina
32,Pennsylvania
33,Wyoming
34,Hawaii
35,Oregon
36,Arkansas
37,Wisconsin
38,Louisiana
39,Utah
40,Oklahoma
41,Alaska
42,Indiana
43,Kansas
44,Maryland
45,California
